Location Name,Date,Start Time,End Time,Status,Notes
Access Bronx Charter School,1/30/2027,9:00 am,5:00 pm,active,Day 1
Bronx Community College,1/30/2027,10:00 am,4:00 pm,active,Day 1
Access Bronx Charter School,2/6/2027,9:00 am,5:00 pm,active,Day 2
Bronx Community College,2/6/2027,10:00 am,4:00 pm,active,Day 2
Access Bronx Charter School,2/13/2027,9:00 am,5:00 pm,active,Day 3
Bronx Community College,2/13/2027,10:00 am,4:00 pm,active,Day 3
Access Bronx Charter School,2/20/2027,9:00 am,5:00 pm,inactive,Midwinter Recess
Bronx Community College,2/20/2027,10:00 am,4:00 pm,inactive,Midwinter Recess
Access Bronx Charter School,2/27/2027,9:00 am,5:00 pm,active,Day 4
Bronx Community College,2/27/2027,10:00 am,4:00 pm,active,Day 4
Access Bronx Charter School,3/6/2027,9:00 am,5:00 pm,active,Day 5
Bronx Community College,3/6/2027,10:00 am,4:00 pm,active,Day 5
Access Bronx Charter School,3/13/2027,9:00 am,5:00 pm,active,Day 6
Bronx Community College,3/13/2027,10:00 am,4:00 pm,active,Day 6
Access Bronx Charter School,3/20/2027,9:00 am,5:00 pm,active,Day 7
Bronx Community College,3/20/2027,10:00 am,4:00 pm,active,Day 7
Access Bronx Charter School,3/27/2027,9:00 am,5:00 pm,active,Day 8
Bronx Community College,3/27/2027,10:00 am,4:00 pm,active,Day 8
Access Bronx Charter School,4/3/2027,9:00 am,5:00 pm,inactive,Spring Break
Bronx Community College,4/3/2027,10:00 am,4:00 pm,inactive,Spring Break
Access Bronx Charter School,4/10/2027,9:00 am,5:00 pm,active,Day 9
Bronx Community College,4/10/2027,10:00 am,4:00 pm,active,Day 9
Access Bronx Charter School,4/17/2027,9:00 am,5:00 pm,active,Day 10
Bronx Community College,4/17/2027,10:00 am,4:00 pm,active,Day 10
Access Bronx Charter School,4/24/2027,9:00 am,5:00 pm,active,Day 11
Bronx Community College,4/24/2027,10:00 am,4:00 pm,active,Day 11
Access Bronx Charter School,5/1/2027,9:00 am,5:00 pm,active,Day 12
Bronx Community College,5/1/2027,10:00 am,4:00 pm,active,Day 12
Access Bronx Charter School,5/8/2027,9:00 am,5:00 pm,active,Day 13
Bronx Community College,5/8/2027,10:00 am,4:00 pm,active,Day 13
Access Bronx Charter School,5/15/2027,9:00 am,5:00 pm,active,Day 14
Bronx Community College,5/15/2027,10:00 am,4:00 pm,active,Day 14
Access Bronx Charter School,5/22/2027,9:00 am,5:00 pm,active,Day 15
Bronx Community College,5/22/2027,10:00 am,4:00 pm,active,Day 15
